id,x,y
482_Saenredam_St_Bavo,1.3152499,9.091144
483_Manet_Grand_duc,-4.0763593,6.584795
484_Bles_Waldige_Landschaft,-2.7337396,13.889938
485_Koninck_Flusslandschaft,-2.9313312,14.4029255
486_Lancret_Concert,2.883074,11.640894
487_Aelst_Jagdstillleben,-4.78562,6.111538
488_Corinth_Selbstbildnis,-0.633189,-3.1183412
489_Marc_Mädchenakte,-3.4005678,3.8576796
490_Zurbaran_Heilige_Katharina,2.125608,-0.19248703
491_Konstanz_Heilige_Laurentius,21.327772,3.307124
492_Konstanz_Heilige_Mauritius,21.549719,3.0980642
493_Brouwer_Fest,1.7696818,12.485174
494_Bonnard_Pont_de_Paris,-5.17906,12.777209
495_Lepine_Vue_de_Port,-2.3207066,16.764618
496_Signac_Saint_Cast,-4.840018,12.311059
497_Picasso_Guitariste,-2.7588215,6.4381433
498_Vlieger_Kuestenlandschaft,-1.8487068,15.14034
499_Ruisdael_Haarlem,-2.615256,14.773071
500_Gris_Fruits,-6.6717362,5.2044196
501_Boudin_Trouville_les_jetees,-12.225088,10.5823145
502_Fresnaye_Nature_morte,-6.602429,6.4770365
503_Gris_Carafe,-6.977638,4.1130424
504_Gris_Poire,-6.7810693,4.1616106
505_Braque_Port_Estaque,-14.334792,9.164988
506_Cezanne_Tentation_Saint_Antoine,3.0223794,7.817448
507_Gericault_Scene_de_bataille_,-0.4126126,11.945586
508_Velde_Standlandschaft,-1.3614285,17.215708
509_Corot_Pamphili,-9.414022,4.794152
510_Macke_Papageien,-4.1196527,7.8916807
511_Tiepolo_Das_Bad,2.697399,8.67443
512_Guardi_Im_Hof,-2.996907,14.744995
513_Heem_Stillleben,-7.3808775,1.1354872
514_Bril_Tiber,-3.3145335,14.23571
515_Bonnard_Ambroise_Vollard,-0.43252137,-3.6734173
516_Ensor_Petit_theatre,-1.7077976,7.853371
517_Macke_Orient_Frauen,-4.8728495,4.8700523
518_Corot_Ital_Hirt,3.4700406,-0.018112196
519_Gogh_Stillleben,-8.219887,1.6186616
520_Pechstein_Stillleben,-6.578679,2.4086893
